0.85714287;0.14285715;1.0;t0.stock_aa_aa.csv.low==t1.stock_aa_aa.csv.high;
0.85714287;0.14285715;1.0;t0.stock_aa_aa.csv.low==t1.stock_aa_aa.csv.low;
0.85714287;0.14285715;1.0;t0.stock_aa_aa.csv.open==t1.stock_aa_aa.csv.high;
0.85714287;0.14285715;1.0;t0.stock_aa_aa.csv.close==t1.stock_aa_aa.csv.high;
0.85714287;0.14285715;1.0;t0.stock_aa_aa.csv.high==t1.stock_aa_aa.csv.high;
0.85714287;0.14285715;1.0;t0.stock_aa_aa.csv.close==t1.stock_aa_aa.csv.close;
0.85714287;0.14285715;1.0;t0.stock_aa_aa.csv.close==t1.stock_aa_aa.csv.low;
0.85714287;0.14285715;1.0;t0.stock_aa_aa.csv.open==t1.stock_aa_aa.csv.open;
0.85714287;0.14285715;1.0;t0.stock_aa_aa.csv.open==t1.stock_aa_aa.csv.low;
0.85714287;0.14285715;1.0;t0.stock_aa_aa.csv.open==t1.stock_aa_aa.csv.close;
0.85714287;0.14285715;1.0;t0.stock_aa_aa.csv.volume==t1.stock_aa_aa.csv.volume;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.open;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.low;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.open;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.high;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close>=t1.stock_aa_aa.csv.low;t0.stock_aa_aa.csv.open<t1.stock_aa_aa.csv.open;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close>=t1.stock_aa_aa.csv.low;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.close;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close<t1.stock_aa_aa.csv.close;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.low;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close>=t1.stock_aa_aa.csv.close;t0.stock_aa_aa.csv.low<t1.stock_aa_aa.csv.low;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close<=t1.stock_aa_aa.csv.close;t0.stock_aa_aa.csv.volume<=t1.stock_aa_aa.csv.volume;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.high;t0.stock_aa_aa.csv.low<t1.stock_aa_aa.csv.low;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close<=t1.stock_aa_aa.csv.low;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.close;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.high;t0.stock_aa_aa.csv.volume<=t1.stock_aa_aa.csv.volume;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close<=t1.stock_aa_aa.csv.close;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.high;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.low;t0.stock_aa_aa.csv.low>=t1.stock_aa_aa.csv.high;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.open;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.close;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close<t1.stock_aa_aa.csv.close;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.close;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.volume<=t1.stock_aa_aa.csv.volume;t0.stock_aa_aa.csv.low<=t1.stock_aa_aa.csv.low;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close<t1.stock_aa_aa.csv.close;t0.stock_aa_aa.csv.low>=t1.stock_aa_aa.csv.low;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.low>=t1.stock_aa_aa.csv.low;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.close;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.close;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.open;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close<t1.stock_aa_aa.csv.high;t0.stock_aa_aa.csv.low>=t1.stock_aa_aa.csv.high;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close<=t1.stock_aa_aa.csv.low;t0.stock_aa_aa.csv.close>=t1.stock_aa_aa.csv.close;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.open<t1.stock_aa_aa.csv.open;t0.stock_aa_aa.csv.close>=t1.stock_aa_aa.csv.close;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.high>=t1.stock_aa_aa.csv.high;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.low;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.high;t0.stock_aa_aa.csv.low>=t1.stock_aa_aa.csv.high;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close>=t1.stock_aa_aa.csv.low;t0.stock_aa_aa.csv.high<t1.stock_aa_aa.csv.high;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.high<=t1.stock_aa_aa.csv.high;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.high;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.low>=t1.stock_aa_aa.csv.low;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.open;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close<=t1.stock_aa_aa.csv.low;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.open;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.close;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.low;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.close;t0.stock_aa_aa.csv.close>=t1.stock_aa_aa.csv.close;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.low;t0.stock_aa_aa.csv.high<t1.stock_aa_aa.csv.high;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close<t1.stock_aa_aa.csv.close;t0.stock_aa_aa.csv.open>=t1.stock_aa_aa.csv.open;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.close>=t1.stock_aa_aa.csv.close;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.low;
0.71428573;0.2857143;1.0;t0.stock_aa_aa.csv.low>=t1.stock_aa_aa.csv.low;t0.stock_aa_aa.csv.open<=t1.stock_aa_aa.csv.low;
0.0;0.14285715;0.0;t0.stock_aa_aa.csv.date==t1.stock_aa_aa.csv.date;
0.0;0.14285715;0.0;t0.stock_aa_aa.csv.symbol==t1.stock_aa_aa.csv.symbol;
